"","campus_building","worksite","report_date","location","potential_exposure_dates","start","end","standardized_exposure_dates","geometry"
"1","1850 Research Park Dr","1850 Research Park Dr","02-09","Davis city","02-06
 - 02-08",2021-02-06,2021-02-08,2021-02-09,list()
"2","187 Mint, The Green","187 Mint, The Green","02-01","Davis campus","01-26
 - 01-27",2021-01-26,2021-01-27,2021-02-01,list()
"3","260 Cousteau Place","260 Cousteau Place","03-02","Davis city","02-19",2021-02-19,2021-02-19,2021-03-02,list()
"4","298 Horizon St., The Green","298 Horizon St., The Green","02-01","Davis campus","01-26
 - 01-27",2021-01-26,2021-01-27,2021-02-01,list()
"5","3213 Apiary drive","3213 Apiary drive","03-05","Davis campus","02-25
 - 02-26",2021-02-25,2021-02-26,2021-03-05,list()
"6","359 North Sage St.,The Green","359 North Sage St.,The Green","02-08","Davis campus","02-02
 - 02-04",2021-02-02,2021-02-04,2021-02-08,list()
"7","623 Putah Creek Lodge Drive","623 Putah Creek Lodge Drive","02-03","Davis campus","02-01
 - 02-02",2021-02-01,2021-02-02,2021-02-03,list()
"9","623 Putah Creek Lodge Drive","623 Putah Creek Lodge Drive","01-26","Davis campus","01-23
 - 01-25",2021-01-23,2021-01-25,2021-01-26,list()
"11","8-4","8-4","08-04","Davis campus","07-28",2021-07-28,2021-07-28,2021-08-04,list()
"12","Activities & Recreation Center","Activities & Recreation Center","01-20","Davis campus","01-14
 - 01-18",2021-01-14,2021-01-18,2021-01-20,list()
"20","Activities & Recreation Center","Activities & Recreation Center","01-11","Davis campus","01-04
 - 01-06",2021-01-04,2021-01-06,2021-01-11,list()
"28","Activities & Recreation Center","Activities & Recreation Center","01-08","Davis campus","01-04
 - 01-06",2021-01-04,2021-01-06,2021-01-08,list()
"36","Activities & Recreation Center","Activities & Recreation Center","02-09","Davis campus","02-06
 - 02-08",2021-02-06,2021-02-08,2021-02-09,list()
"44","Activities & Recreation Center","Activities & Recreation Center","01-25","Davis campus","01-19
 - 01-21",2021-01-19,2021-01-21,2021-01-25,list()
"52","Activities & Recreation Center","Activities & Recreation Center","07-06","Davis campus","06-30
 - 07-01",2021-06-30,2021-07-01,2021-07-06,list()
"60","Activities & Recreation Center","Activities & Recreation Center","01-22","Davis campus","01-14
 - 01-15",2021-01-14,2021-01-15,2021-01-22,list()
"68","Activities & Recreation Center","Activities & Recreation Center","02-04","Davis campus","01-27
 - 02-02",2021-01-27,2021-02-02,2021-02-04,list()
"76","Advanced Transportation Infrastructure Research Ce","Advanced Transportation Infrastructure Research Ce","02-22","Davis campus","02-15
 - 02-18",2021-02-15,2021-02-18,2021-02-22,list()
"77","Advanced Transportation Infrastructure Rsch Ctr","Advanced Transportation Infrastructure Rsch Ctr","07-23","Davis campus","07-19
 - 07-22",2021-07-19,2021-07-22,2021-07-23,list()
"78","Aggie Soccer Field","Aggie Soccer Field","02-09","Davis campus","02-06
 - 02-08",2021-02-06,2021-02-08,2021-02-09,list()
"91","Aggie Surplus & Custodial Building","Aggie Surplus & Custodial Building","04-19","Davis campus","04-14
 - 04-19",2021-04-14,2021-04-19,2021-04-19,list()
"92","Aggie Surplus & Custodial Storage Facility","Aggie Surplus & Custodial Storage Facility","01-29","Davis campus","01-25
 - 01-28",2021-01-25,2021-01-28,2021-01-29,list()
"93","Aggie Surplus and Custodial","Aggie Surplus and Custodial","07-23","Davis campus","07-19
 - 07-23",2021-07-19,2021-07-23,2021-07-23,list()
"94","Alder Hall","Alder Hall","01-05","Davis campus","01-01
 - 01-04",2021-01-01,2021-01-04,2021-01-05,list()
"96","Alder Hall","Alder Hall","01-05","Davis Campus","01-01
 - 01-04",2021-01-01,2021-01-04,2021-01-05,list()
"98","Animal Resource Service V","Animal Resource Service V","01-11","Davis campus","01-04
 - 01-08",2021-01-04,2021-01-08,2021-01-11,list()
"110","Aquatic Biology & Environmental Science building","Aquatic Biology & Environmental Science building","04-05","Davis campus","03-31
 - 04-02",2021-03-31,2021-04-02,2021-04-05,list()
"113","Atriums at La Rue Park","Atriums at La Rue Park","03-29","Davis campus","03-19",2021-03-19,2021-03-19,2021-03-29,list()
"167","Building Maintenance Services","Building Maintenance Services","01-06","Davis campus","12-29
 - 12-31",2021-12-29,2021-12-31,2021-01-06,list()
"170","Building Maintenance Services","Building Maintenance Services","01-15","Davis campus","01-11
 - 01-14",2021-01-11,2021-01-14,2021-01-15,list()
"173","Building Maintenance Services","Building Maintenance Services","01-06","Davis Campus","12-29
 - 12-31",2021-12-29,2021-12-31,2021-01-06,list()
"176","CAHFS San Bernardino Lab","CAHFS San Bernardino Lab","08-04","Off campus","07-27
 - 07-29",2021-07-27,2021-07-29,2021-08-04,list()
"177","California National Primate Research Center","California National Primate Research Center","04-16","Davis campus","04-10",2021-04-10,2021-04-10,2021-04-16,list()
"219","Coffee House","Coffee House","01-05","Davis Campus","01-01
 - 01-04",2021-01-01,2021-01-04,2021-01-05,list()
"221","Coffee House","Coffee House","01-05","Davis campus","01-01
 - 01-04",2021-01-01,2021-01-04,2021-01-05,list()
"223","Cole Facility","Cole Facility","01-11","Davis campus","01-05
 - 01-07",2021-01-05,2021-01-07,2021-01-11,list()
"224","Comparative Pathology Lab","Comparative Pathology Lab","01-05","Davis Campus","12-25
 - 12-29",2021-12-25,2021-12-29,2021-01-05,list()
"227","Comparative Pathology Lab","Comparative Pathology Lab","01-05","Davis campus","12-25
 - 12-29",2021-12-25,2021-12-29,2021-01-05,list()
"228","Comparative Pathology Lab","Comparative Pathology Lab","01-05","Davis Campus","12-29
 - 01-02",2021-12-29,2021-01-02,2021-01-05,list()
"251","D Barn / Facilities Shop","D Barn / Facilities Shop","08-11","Davis campus","08-07
 - 08-09",2021-08-07,2021-08-09,2021-08-11,list()
"252","Dairy Barn","Dairy Barn","02-10","Davis campus","02-04
 - 02-06",2021-02-04,2021-02-06,2021-02-10,list()
"253","Dobbins Baseball Complex","Dobbins Baseball Complex","01-14","Davis campus","01-09
 - 01-11",2021-01-09,2021-01-11,2021-01-14,list()
"254","Downtown Store","Downtown Store","01-29","Davis city","01-21
 - 01-25",2021-01-21,2021-01-25,2021-01-29,list()
"259","Emerson Hall","Emerson Hall","08-03","Davis campus","07-29",2021-07-29,2021-07-29,2021-08-03,list()
"262","Emerson Hall","Emerson Hall","08-11","Davis campus","08-04",2021-08-04,2021-08-04,2021-08-11,list()
"263","Emerson Hall","Emerson Hall","02-02","Davis campus","01-23
 - 01-25",2021-01-23,2021-01-25,2021-02-02,list()
"272","Equestrian Center","Equestrian Center","01-13","Davis campus","01-09
 - 01-12",2021-01-09,2021-01-12,2021-01-13,list()
"280","Fleet Services Central Garage","Fleet Services Central Garage","07-28","Davis campus","07-23
 - 07-26",2021-07-23,2021-07-26,2021-07-28,list()
"307","Gilmore Hall","Gilmore Hall","01-14","Davis campus","01-07
 - 01-12",2021-01-07,2021-01-12,2021-01-14,list()
"318","Gilmore Hall","Gilmore Hall","01-14","Davis campus","01-09
 - 01-13",2021-01-09,2021-01-13,2021-01-14,list()
"319","Gilmore Hall","Gilmore Hall","01-13","Davis campus","01-09
 - 01-13",2021-01-09,2021-01-13,2021-01-13,list()
"325","Gilmore Hall","Gilmore Hall","01-13","Davis campus","01-09
 - 01-12",2021-01-09,2021-01-12,2021-01-13,list()
"327","Gilmore Hall","Gilmore Hall","01-21","Davis campus","01-16
 - 01-19",2021-01-16,2021-01-19,2021-01-21,list()
"335","Gilmore Hall","Gilmore Hall","01-11","Davis campus","01-07
 - 01-09",2021-01-07,2021-01-09,2021-01-11,list()
"338","Gilmore Hall","Gilmore Hall","01-19","Davis campus","01-15
 - 01-18",2021-01-15,2021-01-18,2021-01-19,list()
"339","Gilmore Hall","Gilmore Hall","01-20","Davis campus","01-17
 - 01-19",2021-01-17,2021-01-19,2021-01-20,list()
"340","Gilmore Hall","Gilmore Hall","01-22","Davis campus","01-17
 - 01-21",2021-01-17,2021-01-21,2021-01-22,list()
"355","Gilmore Hall","Gilmore Hall","01-12","Davis campus","01-07
 - 01-11",2021-01-07,2021-01-11,2021-01-12,list()
"364","Gilmore Hall","Gilmore Hall","01-20","Davis campus","01-14
 - 01-19",2021-01-14,2021-01-19,2021-01-20,list()
"430","Granite Canyon Laboratory, Monterey, CA","Granite Canyon Laboratory, Monterey, CA","08-05","Off campus","07-25
 - 08-04",2021-07-25,2021-08-04,2021-08-05,list()
"721","Howard Field","Howard Field","01-13","Davis campus","01-09
 - 01-10",2021-01-09,2021-01-10,2021-01-13,list()
"722","Hutchinson Child Development Center","Hutchinson Child Development Center","04-14","Davis campus","04-07
 - 04-14",2021-04-07,2021-04-14,2021-04-14,list()
"732","Hyatt Place","Hyatt Place","07-19","Davis campus","07-14
 - 07-16",2021-07-14,2021-07-16,2021-07-19,list()
"734","Hyatt Place","Hyatt Place","03-23","Davis campus","03-15",2021-03-15,2021-03-15,2021-03-23,list()
"758","Life Sciences/Green Hall","Life Sciences/Green Hall","02-12","Davis campus","02-08
 - 02-10",2021-02-08,2021-02-10,2021-02-12,list()
"760","Life Sciences/Green Hall","Life Sciences/Green Hall","02-22","Davis campus","02-16
 - 02-19",2021-02-16,2021-02-19,2021-02-22,list()
"762","Mahagony Hall","Mahagony Hall","01-20","Davis campus","01-16
 - 01-19",2021-01-16,2021-01-19,2021-01-20,list()
"763","Malcolm Hall","Malcolm Hall","01-12","Davis campus","01-07
 - 01-10",2021-01-07,2021-01-10,2021-01-12,list()
"764","Malcolm Hall","Malcolm Hall","01-11","Davis campus","01-05
 - 01-07",2021-01-05,2021-01-07,2021-01-11,list()
"771","Marya Welch Tennis Center","Marya Welch Tennis Center","01-14","Davis campus","01-10
 - 01-12",2021-01-10,2021-01-12,2021-01-14,list()
"772","Mayra Welch Tennis Center","Mayra Welch Tennis Center","01-15","Davis campus","01-10
 - 01-14",2021-01-10,2021-01-14,2021-01-15,list()
"902","Memorial Union Bookstore","Memorial Union Bookstore","03-12","Davis campus","03-09
 - 03-12",2021-03-09,2021-03-12,2021-03-12,list()
"903","Memorial Union Unitrans Terminal","Memorial Union Unitrans Terminal","01-29","Davis campus","01-21
 - 01-25",2021-01-21,2021-01-25,2021-01-29,list()
"913","Miller Hall","Miller Hall","01-14","Davis campus","01-09
 - 01-13",2021-01-09,2021-01-13,2021-01-14,list()
"916","Miller Hall","Miller Hall","01-05","Davis Campus","01-01
 - 01-04",2021-01-01,2021-01-04,2021-01-05,list()
"919","Miller Hall","Miller Hall","01-05","Davis campus","01-01
 - 01-04",2021-01-01,2021-01-04,2021-01-05,list()
"922","Mondavi","Mondavi","01-11","Davis campus","01-06
 - 01-08",2021-01-06,2021-01-08,2021-01-11,list()
"923","Mondavi","Mondavi","01-13","Davis campus","01-07
 - 01-09",2021-01-07,2021-01-09,2021-01-13,list()
"926","Mondavi Center for the Performing Arts","Mondavi Center for the Performing Arts","03-31","Davis campus","03-27
 - 03-28",2021-03-27,2021-03-28,2021-03-31,list()
"930","Orchard Park Greenhouse Complex","Orchard Park Greenhouse Complex","08-03","Davis campus","07-25
 - 07-30",2021-07-25,2021-07-30,2021-08-03,list()
"931","Outdoor Adventures","Outdoor Adventures","01-26","Davis campus","01-22
 - 01-25",2021-01-22,2021-01-25,2021-01-26,list()
"932","Peter J.Shields Library","Peter J.Shields Library","03-19","Davis campus","03-10
 - 03-16",2021-03-10,2021-03-16,2021-03-19,list()
"937","Plant and Enviro Sciences","Plant and Enviro Sciences","08-11","Davis campus","08-06
 - 08-08",2021-08-06,2021-08-08,2021-08-11,list()
"938","Police","Police","01-19","Davis campus","01-12
 - 01-14",2021-01-12,2021-01-14,2021-01-19,list()
"939","Police Building","Police Building","04-12","Davis campus","04-07
 - 04-08",2021-04-07,2021-04-08,2021-04-12,list()
"942","Police Building","Police Building","01-07","Davis Campus","01-03
 - 01-05",2021-01-03,2021-01-05,2021-01-07,list()
"943","Police Building","Police Building","01-07","Davis campus","01-03
 - 01-05",2021-01-03,2021-01-05,2021-01-07,list()
"948","Primate Colony","Primate Colony","02-01","Davis campus","01-26
 - 01-29",2021-01-26,2021-01-29,2021-02-01,list()
"966","Rec Pool","Rec Pool","01-20","Davis campus","01-16
 - 01-19",2021-01-16,2021-01-19,2021-01-20,list()
"968","Rec Pool","Rec Pool","01-19","Davis campus","01-10
 - 01-14",2021-01-10,2021-01-14,2021-01-19,list()
"972","Russell Ranch","Russell Ranch","01-14","Davis campus","01-09
 - 01-12",2021-01-09,2021-01-12,2021-01-14,list()
"973","Ryerson Hall","Ryerson Hall","01-12","Davis campus","01-07
 - 01-10",2021-01-07,2021-01-10,2021-01-12,list()
"974","San Bernardino Lab","San Bernardino Lab","01-25","Off campus","01-20
 - 01-21",2021-01-20,2021-01-21,2021-01-25,list()
"976","San Bernardino Lab","San Bernardino Lab","01-12","Off campus","01-05
 - 01-07",2021-01-05,2021-01-07,2021-01-12,list()
"988","Sciences Lecture Hall","Sciences Lecture Hall","03-11","Davis campus","03-08
 - 03-11",2021-03-08,2021-03-11,2021-03-11,list()
"991","Segundo Dining commons","Segundo Dining commons","03-22","Davis campus","03-16
 - 03-18",2021-03-16,2021-03-18,2021-03-22,list()
"1601","Segundo Student Services","Segundo Student Services","01-20","Davis campus","01-14
 - 01-19",2021-01-14,2021-01-19,2021-01-20,list()
"1677","Social Sciences and Humanities","Social Sciences and Humanities","03-29","Davis campus","03-25
 - 03-27",2021-03-25,2021-03-27,2021-03-29,list()
"1679","Social Sciences and Humanities","Social Sciences and Humanities","04-19","Davis campus","04-14
 - 04-16",2021-04-14,2021-04-16,2021-04-19,list()
"1681","Solano Park","Solano Park","03-29","Davis campus","03-19",2021-03-19,2021-03-19,2021-03-29,list()
"1687","Surge II","Surge II","03-05","Davis campus","02-25
 - 02-26",2021-02-25,2021-02-26,2021-03-05,list()
"1690","TANA arts facility, 1224 Lemen Av, Woodland","TANA arts facility, 1224 Lemen Av, Woodland","07-14","Off campus","07-11
 - 07-12",2021-07-11,2021-07-12,2021-07-14,list()
"2153","Tercero Dining","Tercero Dining","01-19","Davis campus","01-11
 - 01-13",2021-01-11,2021-01-13,2021-01-19,list()
"2154","Tercero Madrone","Tercero Madrone","02-25","Davis campus","02-21
 - 02-23",2021-02-21,2021-02-23,2021-02-25,list()
"2209","Tercero Redwood","Tercero Redwood","01-08","Davis campus","01-03
 - 01-05",2021-01-03,2021-01-05,2021-01-08,list()
"2210","Tercero Services Center","Tercero Services Center","03-30","Davis campus","03-27
 - 03-30",2021-03-27,2021-03-30,2021-03-30,list()
"2213","Tercero Services Center","Tercero Services Center","03-16","Davis campus","03-13
 - 03-16",2021-03-13,2021-03-16,2021-03-16,list()
"2216","Tercero Services Center","Tercero Services Center","03-15","Davis campus","03-11
 - 03-15",2021-03-11,2021-03-15,2021-03-15,list()
"2235","The Green - 187 Mint St","The Green - 187 Mint St","01-19","Davis campus","01-18
 - 01-19",2021-01-18,2021-01-19,2021-01-19,list()
"2236","The Green - 2231 Jade St","The Green - 2231 Jade St","01-19","Davis campus","01-18
 - 01-19",2021-01-18,2021-01-19,2021-01-19,list()
"2237","The Green (West Village)","The Green (West Village)","01-15","Davis campus","01-07
 - 01-14",2021-01-07,2021-01-14,2021-01-15,list()
"2239","The Green (West Village)","The Green (West Village)","01-15","Davis campus","01-11
 - 01-14",2021-01-11,2021-01-14,2021-01-15,list()
"2257","The Green; 2231 Jade St.","The Green; 2231 Jade St.","01-04","Davis Campus","12-29
 - 12-31",2021-12-29,2021-12-31,2021-01-04,list()
